read_name	primer	expected_insert_distance	fasta_path	hash	read_length	run_name	sample_well	dye	run_start	run_end	abi_path	date
VR-26-c3-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-26-c3_VRI_primer_2__2021-11-02_E12.seq	4076962738939337536	1000	2021-11-01_731053_133377_data	E12	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-26-c3_VRI_primer_2__2021-11-02_E12.ab1	2021-11-01
VR-18-c1-2021-11-01	VRI_primer_2	0	runs/2021-11-01_731053_133377_data/VR-18-c1_VRI_primer_2__2021-11-02_A11.seq	8790006442600955745	1000	2021-11-01_731053_133377_data	A11	Z-BigDyeV3	2021-11-02 02:19:13	2021-11-02 04:26:30	runs/2021-11-01_731053_133377_data/VR-18-c1_VRI_primer_2__2021-11-02_A11.ab1	2021-11-01
VR-28-c2-2021-09-08	pFC9_t7_primer_1	105	runs/2021-09-08_718616_130254_data/VR-28-c2_pFC9_t7_primer_1__2021-09-09_G08.seq	3673320129751627651	476	2021-09-08_718616_130254_data	G8	Z-BigDyeV3	2021-09-09 07:52:14	2021-09-09 09:54:28	runs/2021-09-08_718616_130254_data/VR-28-c2_pFC9_t7_primer_1__2021-09-09_G08.ab1	2021-09-08
VR-18-c1-2021-09-08	pFC9_t7_primer_1	105	runs/2021-09-08_718616_130254_data/VR-18-c1_pFC9_t7_primer_1__2021-09-09_A08.seq	-5090931753933625670	518	2021-09-08_718616_130254_data	A8	Z-BigDyeV3	2021-09-09 07:52:14	2021-09-09 09:54:28	runs/2021-09-08_718616_130254_data/VR-18-c1_pFC9_t7_primer_1__2021-09-09_A08.ab1	2021-09-08
VR-18-c5-2021-09-08	pFC9_t7_primer_1	105	runs/2021-09-08_718616_130254_data/VR-18-c5_pFC9_t7_primer_1__2021-09-09_E08.seq	8927627164155285061	428	2021-09-08_718616_130254_data	E8	Z-BigDyeV3	2021-09-09 07:52:14	2021-09-09 09:54:28	runs/2021-09-08_718616_130254_data/VR-18-c5_pFC9_t7_primer_1__2021-09-09_E08.ab1	2021-09-08
VR-28-c3-2021-09-08	pFC9_t7_primer_1	105	runs/2021-09-08_718616_130254_data/VR-28-c3_pFC9_t7_primer_1__2021-09-09_H08.seq	-2701185162081426351	426	2021-09-08_718616_130254_data	H8	Z-BigDyeV3	2021-09-09 07:52:14	2021-09-09 09:54:28	runs/2021-09-08_718616_130254_data/VR-28-c3_pFC9_t7_primer_1__2021-09-09_H08.ab1	2021-09-08
VR-18-c3-2021-09-08	pFC9_t7_primer_1	105	runs/2021-09-08_718616_130254_data/VR-18-c3_pFC9_t7_primer_1__2021-09-09_C08.seq	2825525556708624824	472	2021-09-08_718616_130254_data	C8	Z-BigDyeV3	2021-09-09 07:52:14	2021-09-09 09:54:28	runs/2021-09-08_718616_130254_data/VR-18-c3_pFC9_t7_primer_1__2021-09-09_C08.ab1	2021-09-08
VR-28-c1-2021-09-08	pFC9_t7_primer_1	105	runs/2021-09-08_718616_130254_data/VR-28-c1_pFC9_t7_primer_1__2021-09-09_F08.seq	2606318515704922046	590	2021-09-08_718616_130254_data	F8	Z-BigDyeV3	2021-09-09 07:52:14	2021-09-09 09:54:28	runs/2021-09-08_718616_130254_data/VR-28-c1_pFC9_t7_primer_1__2021-09-09_F08.ab1	2021-09-08
VR-28-c5-2021-09-08	pFC9_t7_primer_1	105	runs/2021-09-08_718616_130254_data/VR-28-c5_pFC9_t7_primer_1__2021-09-09_B09.seq	5846603047110557395	601	2021-09-08_718616_130254_data	B9	Z-BigDyeV3	2021-09-09 07:52:14	2021-09-09 09:54:28	runs/2021-09-08_718616_130254_data/VR-28-c5_pFC9_t7_primer_1__2021-09-09_B09.ab1	2021-09-08
VR-18-c2-2021-09-08	pFC9_t7_primer_1	105	runs/2021-09-08_718616_130254_data/VR-18-c2_pFC9_t7_primer_1__2021-09-09_B08.seq	1727536573762415517	468	2021-09-08_718616_130254_data	B8	Z-BigDyeV3	2021-09-09 07:52:14	2021-09-09 09:54:28	runs/2021-09-08_718616_130254_data/VR-18-c2_pFC9_t7_primer_1__2021-09-09_B08.ab1	2021-09-08
